News Title,Subject,Verb,Object
Beuran Hendricks,"['Beuran', None]",,
"Today, these ministers took charge of their office","['Today', None]","['took', []]","['charge', None]"
"BJP, BJP in front of backward and backward caste","['BJP', None]",,
"Terrorism, extremism, a cure of hijackers, Ajit Doval","['Terrorism', None]",,
"Mayawati said- Separate from SP-BSP, Akhilesh says- It is also welcome","['Mayawati', None]","['said', []]","['welcome', None]"
Two suspect arrested Ratnuchak Army Station several important revelations in the interrogation,"['suspect', None]","['arrested', []]","['Ratnuchak', None]"
"Pakistan ceasefire violation continue second day in poonch, Jammu and kashmir","['Pakistan', None]","['continue', []]","['day', None]"
katrina kaif is Repenting for deepika padukone movie chhapaak,"['katrina', None]","['is', []]","['padukone', None]"
Narendra Modi swearing-in ceremony: Several routes will be closed today around Rashtrapati Bhavan,"['Narendra', None]","['be', []]","['today', None]"
"40000 personnel of Amarnath yatra will be given security, devotees will be given barcode slip","['personnel', None]","['be', []]","['security', None]"
salman khan arrived in a wedding ceremony shirtless with katrina kaif pictures gone viral,"['salman', None]","['arrived', []]","['wedding', None]"
Braja car into falls in Ganganahar and three friends death in Meerut,"['car', None]","['Braja', []]","['car', None]"
नामांतरण पर कैंट बोर्ड बनाएगा नई नीति,"['पर', None]","['नामांतरण', []]",
Maid's account increased from 700 to 32 million in 32 months,"['Maid', None]","['increased', []]","['months', None]"
16 people in jail for fodder scam,"['people', None]",,
"रिंग रोड किनारे अतिक्रमण पर चला वीडीए का हथौड़ा, कई भवन सील","['रिंग', None]",,
बीएचयू अस्पताल में पटरी पर लौटी सफाई व्यवस्था,"['अस्पताल', None]","['बीएचयू', []]",
बाबा के आभासी दर्शन-पूजन पर फैसला चार जून को,"['बाबा', None]",,
जाम की समस्या को देखते हुए बलुआ पुल से शुरू हुई ट्रकों की आवाजाही,"['की', None]","['जाम', []]",
परीक्षा नियंत्रक की मिलीभगत से शिक्षक भर्ती परीक्षा का पेपर हुआ था आउट,"['नियंत्रक', None]","['परीक्षा', []]",
पीएम के शपथ ग्रहण समारोह में 300 काशीवासी आमंत्रित,"['पीएम', None]",,
"Sanaullah is declared a foreigner for 30 years, sent to detention camp","['Sanaullah', None]","['is', []]","['foreigner', None]"
jennifer winget and 5 more actress are divorcee hit now on tv,"['jennifer', None]","['are', ['divorcee']]","['tv', None]"
पीएमओ ने खींचा विकसित काशी का खाका,"['ने', None]","['पीएमओ', []]",
अभियान चलाकर कोचिंग संस्थानों की होगी जांच,"['चलाकर', None]","['अभियान', []]",
50 हजार इनामी चढ़ा जीआरपी के हत्थे,"['हजार', None]",,
गाजीपुर के एसपी सिटी की जमीन महिला ने कराई अपने नाम,"['के', None]","['गाजीपुर', []]",
बैंकॉक से वाराणसी पहुंचे यात्री का समान गायब,"['से', None]","['बैंकॉक', []]",
